;factor2
1611;4
1612;3,9166666667
1613;2,375
1614;3,7272727273
1615;3,7272727273
1616;3,7777777778
1617;3,6
1618;2,1666666667
1619;3,9166666667
1620;2,9166666667
1621;3,8333333333
1622;3,8333333333
1623;3
1624;2,5833333333
1625;2,5
1626;3,4545454545
1627;3,8333333333
1628;2,8333333333
1629;3,4166666667
1630;3,3
1631;3,5833333333
1632;3,5
1633;3,5833333333
1634;3
1635;2,1666666667
1636;3,8333333333
1637;3
1638;3,9090909091
1639;4
1640;3,1818181818
1641;3,5
1642;2,875
1643;4
1644;2,8
1645;3,4
1646;4
1647;3,8888888889
1648;2,75
1649;3,1111111111
1650;3,375
1651;3,4166666667
1652;3,0909090909
1653;2,6666666667
1654;3
1655;3,75
1656;4
1657;3,9166666667
1658;2,8571428571
1659;2,4166666667
1660;3,5555555556
1661;2,8
1662;3,5
1663;2,4545454545
1664;2,8888888889
1665;3,8333333333
1666;2,8333333333
1667;3,0833333333
1668;2,7
1669;3,5
1670;2,9166666667
1671;3,9166666667
1672;3,7
1673;3,3333333333
1674;4
1675;2,4166666667
1676;3
1677;3,6666666667
1678;3,6666666667
1679;2,6666666667
1680;3,1818181818
1681;3,3333333333
1682;2,9
1683;3,0833333333
1684;3
1685;3,4545454545
1686;3,5
1687;3,6666666667
1688;3,9166666667
1689;2,9
1690;3
1691;3,5454545455
1692;2,125
1693;3,5454545455
1694;3,3636363636
1695;3,3333333333
1696;2,5
1697;2,6363636364
1698;3
1699;2,7
1700;3
1701;3,0909090909
1702;1,8888888889
1703;2,7777777778
1704;3,3333333333
1705;2,6666666667
1706;4
1707;3,8
1708;3,5
1709;2,8333333333
1710;3
1711;3,2
1712;3,6666666667
1713;2,6666666667
1714;3,4
1715;3,6666666667
1716;2,7
1717;3,3
1718;3,4166666667
1719;2,8
1720;3,1
1721;3,6363636364
1722;2
1723;3,9166666667
1724;2,7777777778
1725;3,4166666667
1726;3
1727;2,7777777778
1728;3,1666666667
1729;3,4
1730;2,5
1731;2,9166666667
1732;2,5
1733;1,8888888889
1734;3,1666666667
1735;3,1666666667
1736;3,5
1737;3,7
1738;3,5833333333
1739;3,4166666667
1740;3
1741;3,9166666667
1742;3
1743;3,5833333333
1744;4
1745;3,125
1746;3,3
1747;3,3333333333
1748;3,6666666667
1749;3,9166666667
1750;4
1751;4
1752;2,8333333333
1753;3,9166666667
1754;3,8333333333
1755;2,5555555556
1756;3
1757;3,0909090909
1758;4
1759;3,4545454545
1760;3,1666666667
1761;2,5
1762;2,9166666667
1763;3,1
1764;2,875
1765;2,75
1766;2,25
1767;2,7272727273
1768;2,6363636364
1769;2,2727272727
1770;4
1771;2
1772;4
1773;2,4
1774;3
1775;2,5
1776;3
1777;2,125
1778;2,9
1779;2,8333333333
1780;3,9166666667
1781;2,7272727273
1782;1,7142857143
1783;3,5454545455
1784;2,25
1785;2,5833333333
1786;2,6363636364
1787;2,25
1788;2,8333333333
1789;3,0909090909
1790;3,9090909091
1791;3,5833333333
1792;3,4545454545
1793;3,5
1794;3,6
1795;2,8181818182
1796;2,4545454545
1797;3,9166666667
